stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000212015,9606.ENSP00000254719,SIRT1,RPA1,9606,0.412,0,0.0,0.0,0.089,0.317,0.0,0.13
9606.ENSP00000212015,9606.ENSP00000365230,SIRT1,BCL2L1,9606,0.548,0,0.0,0.0,0.051,0.0,0.0,0.544
9606.ENSP00000212015,9606.ENSP00000371475,SIRT1,TP53BP1,9606,0.565,0,0.0,0.0,0.0,0.291,0.0,0.412
9606.ENSP00000212015,9606.ENSP00000343535,SIRT1,USP7,9606,0.565,0,0.0,0.0,0.105,0.292,0.0,0.369
9606.ENSP00000212015,9606.ENSP00000258149,SIRT1,MDM2,9606,0.699,0,0.0,0.0,0.0,0.292,0.0,0.592
9606.ENSP00000212015,9606.ENSP00000384849,SIRT1,CDKN1A,9606,0.719,0,0.0,0.0,0.0,0.0,0.0,0.719
9606.ENSP00000212015,9606.ENSP00000381185,SIRT1,BCL2,9606,0.744,0,0.0,0.0,0.058,0.0,0.0,0.739
9606.ENSP00000212015,9606.ENSP00000262367,SIRT1,CREBBP,9606,0.754,0,0.0,0.0,0.088,0.101,0.0,0.724
9606.ENSP00000212015,9606.ENSP00000361021,SIRT1,PTEN,9606,0.757,0,0.0,0.0,0.191,0.103,0.0,0.692
9606.ENSP00000212015,9606.ENSP00000372023,SIRT1,CHEK2,9606,0.784,0,0.0,0.0,0.0,0.387,0.0,0.662
9606.ENSP00000212015,9606.ENSP00000335153,SIRT1,HSP90AA1,9606,0.803,0,0.0,0.0,0.047,0.394,0.0,0.686
9606.ENSP00000212015,9606.ENSP00000278616,SIRT1,ATM,9606,0.856,0,0.0,0.0,0.049,0.0,0.0,0.855
9606.ENSP00000212015,9606.ENSP00000263253,SIRT1,EP300,9606,0.972,0,0.0,0.0,0.138,0.698,0.0,0.902
9606.ENSP00000212015,9606.ENSP00000362649,SIRT1,HDAC1,9606,0.993,0,0.0,0.0,0.0,0.528,0.0,0.987
9606.ENSP00000212015,9606.ENSP00000269305,SIRT1,TP53,9606,0.999,0,0.0,0.0,0.0,0.886,0.9,0.99
9606.ENSP00000254719,9606.ENSP00000263253,RPA1,EP300,9606,0.466,0,0.0,0.0,0.047,0.133,0.0,0.406
9606.ENSP00000254719,9606.ENSP00000372023,RPA1,CHEK2,9606,0.612,0,0.0,0.0,0.089,0.1,0.0,0.565
9606.ENSP00000254719,9606.ENSP00000371475,RPA1,TP53BP1,9606,0.873,0,0.0,0.0,0.112,0.658,0.0,0.614
9606.ENSP00000254719,9606.ENSP00000278616,RPA1,ATM,9606,0.928,0,0.0,0.0,0.047,0.66,0.5,0.611
9606.ENSP00000254719,9606.ENSP00000269305,RPA1,TP53,9606,0.999,0,0.0,0.0,0.117,0.982,0.4,0.932
9606.ENSP00000258149,9606.ENSP00000354218,MDM2,PPP1R13L,9606,0.623,0,0.0,0.0,0.0,0.0,0.0,0.623
9606.ENSP00000258149,9606.ENSP00000371475,MDM2,TP53BP1,9606,0.681,0,0.0,0.0,0.0,0.0,0.0,0.681
9606.ENSP00000258149,9606.ENSP00000365230,MDM2,BCL2L1,9606,0.794,0,0.0,0.0,0.056,0.095,0.0,0.779
9606.ENSP00000258149,9606.ENSP00000361021,MDM2,PTEN,9606,0.902,0,0.0,0.0,0.069,0.045,0.4,0.838
9606.ENSP00000258149,9606.ENSP00000262367,MDM2,CREBBP,9606,0.909,0,0.0,0.0,0.122,0.625,0.0,0.746
9606.ENSP00000258149,9606.ENSP00000335153,MDM2,HSP90AA1,9606,0.909,0,0.0,0.0,0.049,0.539,0.0,0.81
9606.ENSP00000258149,9606.ENSP00000381185,MDM2,BCL2,9606,0.953,0,0.0,0.0,0.056,0.0,0.0,0.953
9606.ENSP00000258149,9606.ENSP00000362649,MDM2,HDAC1,9606,0.963,0,0.0,0.0,0.061,0.737,0.0,0.863
9606.ENSP00000258149,9606.ENSP00000384849,MDM2,CDKN1A,9606,0.98,0,0.0,0.0,0.072,0.848,0.0,0.873
9606.ENSP00000258149,9606.ENSP00000372023,MDM2,CHEK2,9606,0.983,0,0.0,0.0,0.049,0.625,0.75,0.837
9606.ENSP00000258149,9606.ENSP00000340989,MDM2,SFN,9606,0.989,0,0.0,0.0,0.0,0.948,0.0,0.799
9606.ENSP00000258149,9606.ENSP00000278616,MDM2,ATM,9606,0.995,0,0.0,0.0,0.092,0.621,0.75,0.955
9606.ENSP00000258149,9606.ENSP00000266000,MDM2,DAXX,9606,0.995,0,0.0,0.0,0.047,0.842,0.5,0.953
9606.ENSP00000258149,9606.ENSP00000343535,MDM2,USP7,9606,0.999,0,0.0,0.0,0.06,0.925,0.5,0.995
9606.ENSP00000258149,9606.ENSP00000356150,MDM2,MDM4,9606,0.999,0,0.0,0.0,0.098,0.999,0.9,0.986
9606.ENSP00000258149,9606.ENSP00000263253,MDM2,EP300,9606,0.999,0,0.0,0.0,0.152,0.82,0.0,0.994
9606.ENSP00000258149,9606.ENSP00000269305,MDM2,TP53,9606,0.999,0,0.0,0.0,0.116,0.999,0.9,0.999
9606.ENSP00000262367,9606.ENSP00000335153,CREBBP,HSP90AA1,9606,0.415,0,0.005,0.0,0.066,0.0,0.0,0.398
9606.ENSP00000262367,9606.ENSP00000278616,CREBBP,ATM,9606,0.497,0,0.0,0.0,0.06,0.0,0.0,0.487
9606.ENSP00000262367,9606.ENSP00000371475,CREBBP,TP53BP1,9606,0.545,0,0.0,0.0,0.067,0.439,0.0,0.201
9606.ENSP00000262367,9606.ENSP00000361021,CREBBP,PTEN,9606,0.552,0,0.0,0.0,0.075,0.088,0.0,0.511
9606.ENSP00000262367,9606.ENSP00000381185,CREBBP,BCL2,9606,0.739,0,0.0,0.0,0.049,0.0,0.0,0.737
9606.ENSP00000262367,9606.ENSP00000343535,CREBBP,USP7,9606,0.751,0,0.0,0.216,0.139,0.292,0.0,0.54
9606.ENSP00000262367,9606.ENSP00000266000,CREBBP,DAXX,9606,0.842,0,0.0,0.0,0.055,0.634,0.0,0.579
9606.ENSP00000262367,9606.ENSP00000384849,CREBBP,CDKN1A,9606,0.904,0,0.0,0.0,0.0,0.783,0.0,0.577
9606.ENSP00000262367,9606.ENSP00000362649,CREBBP,HDAC1,9606,0.96,0,0.0,0.0,0.099,0.537,0.5,0.833
9606.ENSP00000262367,9606.ENSP00000269305,CREBBP,TP53,9606,0.999,0,0.0,0.0,0.0,0.998,0.9,0.996
9606.ENSP00000262367,9606.ENSP00000263253,CREBBP,EP300,9606,0.999,0,0.0,0.062,0.839,0.782,0.9,0.983
9606.ENSP00000263253,9606.ENSP00000372023,EP300,CHEK2,9606,0.4,0,0.0,0.0,0.0,0.0,0.0,0.4
9606.ENSP00000263253,9606.ENSP00000365230,EP300,BCL2L1,9606,0.411,0,0.0,0.0,0.049,0.0,0.0,0.407
9606.ENSP00000263253,9606.ENSP00000341957,EP300,TP53BP2,9606,0.413,0,0.0,0.0,0.06,0.292,0.0,0.189
9606.ENSP00000263253,9606.ENSP00000371475,EP300,TP53BP1,9606,0.454,0,0.0,0.0,0.053,0.188,0.0,0.348
9606.ENSP00000263253,9606.ENSP00000356150,EP300,MDM4,9606,0.562,0,0.0,0.0,0.121,0.292,0.0,0.353
9606.ENSP00000263253,9606.ENSP00000354218,EP300,PPP1R13L,9606,0.568,0,0.0,0.0,0.047,0.51,0.0,0.151
9606.ENSP00000263253,9606.ENSP00000361021,EP300,PTEN,9606,0.596,0,0.0,0.0,0.062,0.071,0.0,0.574
9606.ENSP00000263253,9606.ENSP00000343535,EP300,USP7,9606,0.623,0,0.0,0.0,0.182,0.292,0.0,0.402
9606.ENSP00000263253,9606.ENSP00000335153,EP300,HSP90AA1,9606,0.809,0,0.003,0.0,0.066,0.292,0.5,0.49
9606.ENSP00000263253,9606.ENSP00000381185,EP300,BCL2,9606,0.869,0,0.0,0.0,0.049,0.0,0.5,0.747
9606.ENSP00000263253,9606.ENSP00000278616,EP300,ATM,9606,0.904,0,0.0,0.0,0.074,0.0,0.0,0.9
9606.ENSP00000263253,9606.ENSP00000384849,EP300,CDKN1A,9606,0.92,0,0.0,0.0,0.0,0.719,0.0,0.728
9606.ENSP00000263253,9606.ENSP00000269305,EP300,TP53,9606,0.999,0,0.0,0.0,0.049,0.999,0.9,0.998
9606.ENSP00000263253,9606.ENSP00000362649,EP300,HDAC1,9606,0.999,0,0.0,0.0,0.049,0.806,0.5,0.995
9606.ENSP00000266000,9606.ENSP00000372023,DAXX,CHEK2,9606,0.408,0,0.0,0.0,0.0,0.093,0.0,0.374
9606.ENSP00000266000,9606.ENSP00000365230,DAXX,BCL2L1,9606,0.509,0,0.0,0.0,0.049,0.0,0.0,0.505
9606.ENSP00000266000,9606.ENSP00000381185,DAXX,BCL2,9606,0.558,0,0.0,0.0,0.083,0.0,0.0,0.538
9606.ENSP00000266000,9606.ENSP00000356150,DAXX,MDM4,9606,0.744,0,0.0,0.0,0.047,0.314,0.5,0.311
9606.ENSP00000266000,9606.ENSP00000361021,DAXX,PTEN,9606,0.778,0,0.0,0.0,0.0,0.314,0.0,0.69
9606.ENSP00000266000,9606.ENSP00000278616,DAXX,ATM,9606,0.813,0,0.0,0.0,0.103,0.314,0.0,0.72
9606.ENSP00000266000,9606.ENSP00000362649,DAXX,HDAC1,9606,0.922,0,0.0,0.0,0.106,0.796,0.0,0.605
9606.ENSP00000266000,9606.ENSP00000269305,DAXX,TP53,9606,0.999,0,0.0,0.0,0.122,0.895,0.9,0.952
9606.ENSP00000266000,9606.ENSP00000343535,DAXX,USP7,9606,0.999,0,0.0,0.0,0.056,0.833,0.8,0.994
9606.ENSP00000269305,9606.ENSP00000340989,TP53,SFN,9606,0.999,0,0.0,0.0,0.0,0.981,0.75,0.859
9606.ENSP00000269305,9606.ENSP00000362649,TP53,HDAC1,9606,0.999,0,0.0,0.0,0.109,0.924,0.5,0.994
9606.ENSP00000269305,9606.ENSP00000335153,TP53,HSP90AA1,9606,0.999,0,0.0,0.0,0.0,0.903,0.0,0.995
9606.ENSP00000269305,9606.ENSP00000278616,TP53,ATM,9606,0.999,0,0.0,0.0,0.103,0.928,0.9,0.975
9606.ENSP00000269305,9606.ENSP00000356150,TP53,MDM4,9606,0.999,0,0.0,0.0,0.093,0.999,0.9,0.998
9606.ENSP00000269305,9606.ENSP00000372023,TP53,CHEK2,9606,0.999,0,0.0,0.0,0.072,0.833,0.75,0.992
9606.ENSP00000269305,9606.ENSP00000381185,TP53,BCL2,9606,0.999,0,0.0,0.0,0.103,0.869,0.9,0.999
9606.ENSP00000269305,9606.ENSP00000365230,TP53,BCL2L1,9606,0.999,0,0.0,0.0,0.074,0.986,0.0,0.998
9606.ENSP00000269305,9606.ENSP00000354218,TP53,PPP1R13L,9606,0.999,0,0.0,0.0,0.044,0.984,0.5,0.91
9606.ENSP00000269305,9606.ENSP00000384849,TP53,CDKN1A,9606,0.999,0,0.0,0.0,0.0,0.925,0.9,0.96
9606.ENSP00000269305,9606.ENSP00000341957,TP53,TP53BP2,9606,0.999,0,0.0,0.0,0.0,0.988,0.5,0.996
9606.ENSP00000269305,9606.ENSP00000343535,TP53,USP7,9606,0.999,0,0.0,0.0,0.0,0.975,0.9,0.973
9606.ENSP00000269305,9606.ENSP00000371475,TP53,TP53BP1,9606,0.999,0,0.0,0.0,0.0,0.993,0.0,0.997
9606.ENSP00000269305,9606.ENSP00000361021,TP53,PTEN,9606,0.999,0,0.0,0.0,0.067,0.748,0.9,0.968
9606.ENSP00000278616,9606.ENSP00000343535,ATM,USP7,9606,0.579,0,0.0,0.0,0.114,0.0,0.0,0.545
9606.ENSP00000278616,9606.ENSP00000340989,ATM,SFN,9606,0.604,0,0.0,0.0,0.042,0.313,0.0,0.447
9606.ENSP00000278616,9606.ENSP00000365230,ATM,BCL2L1,9606,0.617,0,0.0,0.0,0.06,0.0,0.0,0.609
9606.ENSP00000278616,9606.ENSP00000381185,ATM,BCL2,9606,0.712,0,0.0,0.0,0.11,0.0,0.0,0.69
9606.ENSP00000278616,9606.ENSP00000335153,ATM,HSP90AA1,9606,0.785,0,0.0,0.0,0.042,0.0,0.0,0.785
9606.ENSP00000278616,9606.ENSP00000384849,ATM,CDKN1A,9606,0.807,0,0.0,0.0,0.0,0.0,0.0,0.807
9606.ENSP00000278616,9606.ENSP00000361021,ATM,PTEN,9606,0.897,0,0.0,0.0,0.087,0.0,0.0,0.892
9606.ENSP00000278616,9606.ENSP00000362649,ATM,HDAC1,9606,0.948,0,0.0,0.0,0.076,0.331,0.0,0.923
9606.ENSP00000278616,9606.ENSP00000356150,ATM,MDM4,9606,0.954,0,0.0,0.0,0.162,0.0,0.75,0.801
9606.ENSP00000278616,9606.ENSP00000372023,ATM,CHEK2,9606,0.999,0,0.0,0.0,0.044,0.836,0.5,0.999
9606.ENSP00000278616,9606.ENSP00000371475,ATM,TP53BP1,9606,0.999,0,0.0,0.0,0.042,0.874,0.5,0.995
9606.ENSP00000335153,9606.ENSP00000356150,HSP90AA1,MDM4,9606,0.419,0,0.0,0.0,0.049,0.146,0.0,0.343
9606.ENSP00000335153,9606.ENSP00000372023,HSP90AA1,CHEK2,9606,0.425,0,0.0,0.0,0.049,0.071,0.0,0.401
9606.ENSP00000335153,9606.ENSP00000340989,HSP90AA1,SFN,9606,0.45,0,0.0,0.0,0.126,0.177,0.0,0.296
9606.ENSP00000335153,9606.ENSP00000365230,HSP90AA1,BCL2L1,9606,0.727,0,0.0,0.0,0.06,0.0,0.0,0.721
9606.ENSP00000335153,9606.ENSP00000362649,HSP90AA1,HDAC1,9606,0.764,0,0.0,0.0,0.071,0.091,0.0,0.742
9606.ENSP00000335153,9606.ENSP00000361021,HSP90AA1,PTEN,9606,0.803,0,0.0,0.0,0.042,0.233,0.0,0.753
9606.ENSP00000335153,9606.ENSP00000384849,HSP90AA1,CDKN1A,9606,0.909,0,0.0,0.0,0.078,0.292,0.5,0.756
9606.ENSP00000335153,9606.ENSP00000381185,HSP90AA1,BCL2,9606,0.929,0,0.0,0.0,0.06,0.51,0.0,0.859
9606.ENSP00000340989,9606.ENSP00000381185,SFN,BCL2,9606,0.403,0,0.0,0.0,0.078,0.0,0.0,0.379
9606.ENSP00000340989,9606.ENSP00000372023,SFN,CHEK2,9606,0.457,0,0.0,0.0,0.0,0.117,0.0,0.411
9606.ENSP00000340989,9606.ENSP00000384849,SFN,CDKN1A,9606,0.531,0,0.0,0.0,0.087,0.045,0.0,0.506
9606.ENSP00000340989,9606.ENSP00000356150,SFN,MDM4,9606,0.977,0,0.0,0.0,0.0,0.948,0.0,0.575
9606.ENSP00000341957,9606.ENSP00000354218,TP53BP2,PPP1R13L,9606,0.465,0,0.0,0.0,0.0,0.0,0.0,0.465
9606.ENSP00000341957,9606.ENSP00000384849,TP53BP2,CDKN1A,9606,0.484,0,0.0,0.0,0.104,0.0,0.0,0.448
9606.ENSP00000341957,9606.ENSP00000365230,TP53BP2,BCL2L1,9606,0.73,0,0.0,0.0,0.061,0.422,0.0,0.544
9606.ENSP00000341957,9606.ENSP00000371475,TP53BP2,TP53BP1,9606,0.757,0,0.0,0.0,0.045,0.0,0.0,0.756
9606.ENSP00000341957,9606.ENSP00000381185,TP53BP2,BCL2,9606,0.99,0,0.0,0.0,0.067,0.622,0.0,0.975
9606.ENSP00000343535,9606.ENSP00000371475,USP7,TP53BP1,9606,0.606,0,0.0,0.0,0.104,0.0,0.0,0.579
9606.ENSP00000343535,9606.ENSP00000372023,USP7,CHEK2,9606,0.676,0,0.0,0.0,0.0,0.292,0.0,0.562
9606.ENSP00000343535,9606.ENSP00000362649,USP7,HDAC1,9606,0.929,0,0.0,0.0,0.055,0.51,0.0,0.86
9606.ENSP00000343535,9606.ENSP00000356150,USP7,MDM4,9606,0.973,0,0.0,0.0,0.0,0.79,0.5,0.767
9606.ENSP00000343535,9606.ENSP00000361021,USP7,PTEN,9606,0.979,0,0.0,0.0,0.088,0.796,0.5,0.8
9606.ENSP00000354218,9606.ENSP00000381185,PPP1R13L,BCL2,9606,0.577,0,0.0,0.0,0.06,0.0,0.0,0.569
9606.ENSP00000356150,9606.ENSP00000365230,MDM4,BCL2L1,9606,0.452,0,0.0,0.0,0.056,0.091,0.0,0.413
9606.ENSP00000356150,9606.ENSP00000381185,MDM4,BCL2,9606,0.728,0,0.0,0.0,0.056,0.51,0.0,0.46
9606.ENSP00000356150,9606.ENSP00000361021,MDM4,PTEN,9606,0.732,0,0.0,0.0,0.074,0.045,0.4,0.555
9606.ENSP00000356150,9606.ENSP00000384849,MDM4,CDKN1A,9606,0.754,0,0.0,0.0,0.0,0.512,0.0,0.518
9606.ENSP00000356150,9606.ENSP00000372023,MDM4,CHEK2,9606,0.92,0,0.0,0.0,0.042,0.292,0.75,0.583
9606.ENSP00000361021,9606.ENSP00000362649,PTEN,HDAC1,9606,0.516,0,0.0,0.0,0.055,0.056,0.0,0.501
9606.ENSP00000361021,9606.ENSP00000371475,PTEN,TP53BP1,9606,0.622,0,0.0,0.0,0.14,0.334,0.0,0.393
9606.ENSP00000361021,9606.ENSP00000365230,PTEN,BCL2L1,9606,0.669,0,0.0,0.0,0.0,0.057,0.0,0.664
9606.ENSP00000361021,9606.ENSP00000384849,PTEN,CDKN1A,9606,0.792,0,0.0,0.0,0.0,0.0,0.0,0.792
9606.ENSP00000361021,9606.ENSP00000372023,PTEN,CHEK2,9606,0.81,0,0.008,0.0,0.0,0.082,0.0,0.802
9606.ENSP00000361021,9606.ENSP00000381185,PTEN,BCL2,9606,0.815,0,0.0,0.0,0.049,0.057,0.0,0.81
9606.ENSP00000362649,9606.ENSP00000372023,HDAC1,CHEK2,9606,0.451,0,0.0,0.0,0.056,0.132,0.0,0.384
9606.ENSP00000362649,9606.ENSP00000365230,HDAC1,BCL2L1,9606,0.452,0,0.0,0.0,0.07,0.0,0.0,0.435
9606.ENSP00000362649,9606.ENSP00000371475,HDAC1,TP53BP1,9606,0.455,0,0.0,0.0,0.063,0.071,0.0,0.425
9606.ENSP00000362649,9606.ENSP00000381185,HDAC1,BCL2,9606,0.558,0,0.0,0.0,0.074,0.0,0.0,0.542
9606.ENSP00000362649,9606.ENSP00000384849,HDAC1,CDKN1A,9606,0.903,0,0.0,0.0,0.0,0.775,0.0,0.587
9606.ENSP00000365230,9606.ENSP00000372023,BCL2L1,CHEK2,9606,0.474,0,0.0,0.0,0.0,0.0,0.0,0.474
9606.ENSP00000365230,9606.ENSP00000384849,BCL2L1,CDKN1A,9606,0.704,0,0.0,0.0,0.134,0.0,0.0,0.673
9606.ENSP00000365230,9606.ENSP00000381185,BCL2L1,BCL2,9606,0.999,0,0.0,0.0,0.0,0.863,0.9,0.984
9606.ENSP00000371475,9606.ENSP00000384849,TP53BP1,CDKN1A,9606,0.721,0,0.0,0.0,0.0,0.439,0.0,0.524
9606.ENSP00000371475,9606.ENSP00000372023,TP53BP1,CHEK2,9606,0.996,0,0.0,0.0,0.049,0.883,0.5,0.951
9606.ENSP00000372023,9606.ENSP00000381185,CHEK2,BCL2,9606,0.572,0,0.0,0.0,0.0,0.0,0.0,0.572
9606.ENSP00000372023,9606.ENSP00000384849,CHEK2,CDKN1A,9606,0.761,0,0.0,0.0,0.105,0.292,0.0,0.654
9606.ENSP00000381185,9606.ENSP00000384849,BCL2,CDKN1A,9606,0.82,0,0.0,0.0,0.087,0.0,0.0,0.811
